sid,year,id_s_fr,age,female
2,2012,03000010175,48,1
2,2013,,49,1
2,2014,,50,1
4,2012,,53,1
4,2013,,54,1
4,2014,,55,1
4,2015,03000010364,56,1
35,2012,03000010000,50,1
35,2013,03000010288,51,1
35,2014,03000010288,52,1
35,2015,03000010288,53,1
38,2012,03000010420,39,1
38,2013,03000010000,40,1
38,2014,,41,1
38,2015,,42,1
115,2012,03000010179,27,1
115,2013,03000010311,28,1
115,2014,03000010311,29,1
138,2012,03000010318,27,0
138,2013,03000010318,28,0
138,2014,03000010318,29,0
416,2012,03000010136,73,1
416,2013,03000010136,74,1
416,2014,03000010136,75,1
816,2012,03000010362,72,1
816,2013,03000010362,72,1
816,2014,03000010362,73,1
1018,2012,03000010291,71,1
1018,2013,03000010291,71,1
1018,2014,03000010291,72,1
1966,2012,03000010352,52,0
1966,2013,03000010352,53,0
1966,2014,03000010352,54,0
1966,2015,03000010352,55,0
2712,2012,03000010160,69,1
2951,2012,03000010291,68,0
2951,2013,03000010291,69,0
2951,2014,03000010291,70,0
3813,2012,03000010021,66,1
3813,2013,,67,1
3813,2014,,68,1
3834,2012,03000010352,47,0
3834,2013,03000010352,48,0
3834,2014,03000010352,49,0
4257,2012,03000010282,69,1
4257,2013,03000010282,70,1
4257,2014,03000010282,71,1
4500,2012,03000010110,65,1
4500,2013,03000010110,67,1
4500,2014,03000010110,67,1
4768,2012,03000010110,66,0
4768,2013,03000010110,67,0
4768,2014,03000010110,68,0
5216,2012,03000010362,72,0
5216,2013,03000010362,73,0
5216,2014,03000010362,74,0
5626,2012,03000010364,65,1
5626,2013,03000010364,66,1
5626,2014,03000010364,68,1
5696,2012,03000010352,68,0
5696,2013,,70,0
5696,2014,,70,0
5895,2012,03000010130,66,1
5895,2013,03000010130,67,1
5895,2014,03000010130,68,1
5895,2015,03000010130,69,1
6107,2012,03000010167,66,1
6107,2013,03000010167,67,1
6107,2014,03000010167,68,1
6120,2012,03000010140,66,1
6120,2013,03000010140,67,1
6120,2014,03000010140,68,1
6316,2012,,65,1
6316,2013,,66,1
6316,2014,,67,1
6395,2012,03000010289,65,1
6395,2013,03000010289,66,1
6405,2012,03000010226,65,1
6886,2012,03000010105,65,1
6886,2013,03000010105,66,1
6886,2014,03000010105,67,1
7262,2012,03000010121,65,1
7262,2013,03000010121,66,1
7262,2014,03000010121,67,1
7653,2012,03000010160,65,1
7653,2013,03000010160,66,1
7653,2014,03000010160,67,1
7715,2012,03000010291,66,0
7715,2013,03000010291,67,0
7715,2014,03000010291,68,0
7912,2012,03000010130,65,1
7912,2013,03000010132,66,1
7912,2014,03000010132,67,1
7912,2015,03000010132,68,1
8019,2012,03000010136,65,1
8019,2013,03000010136,66,1
8019,2014,03000010136,67,1
8096,2012,03000010362,65,1
8096,2013,03000010362,66,1
8096,2014,03000010362,67,1
8262,2012,03000010132,65,1
8262,2013,03000010132,66,1
8262,2014,03000010132,67,1
8262,2015,03000010132,68,1
8321,2012,03000010193,66,1
8321,2013,,67,1
8321,2014,03000010151,68,1
8321,2015,,69,1
8426,2012,03000010180,66,1
8426,2013,03000010180,67,1
8426,2014,03000010180,68,1
8495,2012,03000010364,65,1
8495,2013,,67,1
8495,2014,,67,1
8665,2012,03000010354,65,1
8665,2013,03000010354,66,1
8665,2014,03000010364,67,1
8665,2015,03000010354,68,1
8774,2012,,65,1
8774,2013,,66,1
8774,2014,,67,1
8774,2015,,68,1
8817,2012,03000010353,41.333332,1
8817,2013,03000010353,42.5,1
8817,2014,,43,1
8817,2015,03000010857,44,1
9204,2012,03000010256,64,1
9204,2013,03000010256,65,1
9204,2014,03000010256,66,1
9204,2015,03000010256,67,1
9570,2012,,64,0
9570,2013,,65,0
9570,2014,,66,0
9648,2012,03000010165,64,1
9648,2013,03000010165,65,1
9679,2012,,65,1
9679,2013,,66,1
9679,2014,,67,1
9679,2015,,68,1
9894,2012,03000010362,63,1
9894,2013,03000010362,64,1
9894,2014,03000010362,65,1
10483,2012,03000010372,65,1
10483,2013,03000010372,66,1
10587,2012,03000010110,65,1
10587,2013,,66,1
10587,2014,,67,1
10647,2012,03000010364,65,1
10647,2013,03000010364,66,1
10647,2014,03000010364,67,1
10662,2012,03000010132,65,1
10662,2013,03000010132,66,1
10662,2014,03000010132,67,1
10662,2015,03000010132,68,1
10983,2012,,64,1
11115,2012,03000010106,64,1
11115,2013,03000010106,65,1
11115,2014,03000010106,66,1
11132,2012,03000010358,63,1
11466,2012,03000010155,63,1
11466,2013,03000010155,65,1
11466,2014,03000010155,65,1
11679,2012,03000010360,63,1
11679,2013,03000010360,64,1
11679,2014,03000010360,65,1
11747,2012,03000010165,63,1
11747,2013,03000010165,64,1
11747,2014,03000010165,65,1
11776,2012,03000010179,63,1
11776,2013,03000010179,64,1
11776,2014,,65,1
11957,2012,03000010362,66,1
11957,2013,03000010362,67,1
11957,2014,03000010362,68,1
12126,2012,03000010160,63,0
12126,2013,03000010160,63,0
12126,2014,03000010160,64,0
12332,2012,03000010107,63,1
12332,2013,,64,1
12332,2014,,65,1
12333,2012,03000010193,64,1
12333,2013,03000010193,65,1
12333,2014,03000010289,66,1
12333,2015,03000010289,67,1
12516,2012,,63,1
12516,2013,,64,1
12772,2012,03000010324,63,1
12772,2013,03000010324,63,1
12772,2014,03000010324,64,1
12805,2012,03000010170,63,1
12805,2013,03000010170,64,1
12805,2014,03000010170,65,1
12805,2015,03000010170,66,1
12953,2012,03000010368,64,0
12953,2013,03000010368,65,0
12953,2014,03000010368,66,0
13117,2012,03000010324,64,1
13117,2013,03000010324,64,1
13117,2014,03000010324,65,1
13186,2012,03000010136,63,1
13186,2013,03000010136,64,1
13186,2014,03000010136,65,1
13186,2015,03000010136,66,1
13413,2012,03000010362,66,1
13413,2013,03000010362,67,1
13413,2014,03000010362,68,1
13417,2012,,62,1
13417,2013,,63,1
13417,2014,,64,1
13452,2012,,66,0
13452,2013,,68,0
13452,2014,,68,0
13494,2012,03000010857,63,1
13494,2013,03000010857,64,1
13494,2014,03000010857,65,1
13494,2015,03000010857,66,1
13690,2012,03000010249,62,1
13690,2013,03000010249,63,1
13690,2014,03000010249,64,1
13694,2012,03000010179,63,0
13694,2013,03000010179,64,0
13694,2014,03000010179,65,0
13715,2012,03000010155,64,0
13715,2013,03000010155,65,0
13715,2014,03000010155,66,0
13789,2012,,62,1
13789,2013,,63,1
13789,2014,,64,1
14056,2012,03000010226,63,1
14056,2013,03000010226,64,1
14056,2014,03000010226,65,1
14273,2012,03000010689,62,1
14273,2013,03000010689,63,1
14273,2014,03000010689,64,1
14363,2012,,62,1
14363,2013,,63,1
14363,2014,,64,1
14439,2012,03000010165,62,1
14516,2012,03000010362,62,1
14699,2012,,61,1
14843,2012,03000010107,61,1
14843,2013,03000010107,62,1
14873,2012,03000010289,63,1
14873,2013,03000010289,64,1
14873,2014,03000010289,65,1
14933,2012,,62,1
14933,2013,,63,1
14933,2014,,64,1
15028,2012,03000010121,63,1
15028,2013,,64,1
15028,2014,,65,1
15178,2012,03000010360,63,1
15178,2013,03000010360,64,1
15178,2014,,65,1
15178,2015,,66,1
15437,2012,03000010318,64,1
15437,2013,03000010318,65,1
15437,2014,03000010318,66,1
15437,2015,03000010318,67,1
15465,2012,03000010287,61,1
15465,2013,03000010287,62,1
15465,2014,03000010287,63,1
15465,2015,03000010287,64,1
15504,2012,,62,1
15504,2013,,63,1
15504,2014,,64,1
15505,2012,03000010121,62,1
15505,2013,03000010121,63,1
15505,2014,03000010121,64,1
15505,2015,03000010121,65,1
15620,2012,03000010160,62,1
15620,2013,03000010160,63,1
15620,2014,03000010160,64,1
15705,2012,03000010136,74,1
15705,2013,03000010136,75,1
15705,2014,03000010136,76,1
15705,2015,03000010136,77,1
15743,2012,,61,1
15743,2013,,62,1
15743,2014,,63,1
15743,2015,,64,1
15787,2012,03000010190,61,1
15787,2013,03000010368,62,1
15787,2014,03000010368,63,1
15867,2012,03000010309,63.53846,1
15867,2013,03000010364,64,1
15867,2014,03000010364,65,1
15867,2015,03000010364,66,1
16262,2012,03000010364,61,1
16262,2013,03000010364,62,1
16262,2014,03000010364,63,1
16356,2012,03000010180,61,1
16356,2013,03000010180,62,1
16356,2014,03000010180,63,1
16356,2015,03000010180,64,1
16415,2012,,62,1
16415,2013,,62,1
16415,2014,,63,1
16439,2012,,62,1
16439,2013,,63,1
16439,2014,,64,1
16729,2012,,61,1
16729,2013,,62,1
16729,2014,,63,1
16729,2015,,64,1
16806,2013,03000010256,62,1
16806,2014,03000010256,63,1
16884,2012,03000010021,61,1
16897,2012,03000010364,61,0
16897,2013,03000010364,62,0
16897,2014,03000010364,63,0
17204,2012,03000010190,61,1
17204,2013,03000010190,62,1
17204,2014,03000010190,63,1
17428,2012,03000010155,61,1
17428,2013,03000010155,62,1
17428,2014,03000010155,63,1
17442,2012,03000010103,63,1
17442,2013,03000010103,64,1
17442,2014,03000010103,65,1
17482,2012,03000010106,62,1
17482,2013,03000010106,63,1
17482,2014,03000010106,64,1
17538,2012,,62,1
17538,2013,,63,1
17538,2014,,64,1
17551,2012,03000010291,62,1
17551,2013,03000010291,63,1
17551,2014,03000010291,64,1
17613,2012,03000010134,62,1
17613,2013,03000010134,63.014084,1
17613,2014,03000010134,65,1
17658,2012,03000010104,61,1
17658,2013,03000010104,62,1
17658,2014,03000010104,63,1
17658,2015,03000010104,64,1
17744,2012,,61,1
17744,2013,,62,1
17744,2014,,63,1
17765,2012,,60,1
17765,2013,,61,1
17765,2014,,62,1
17810,2012,03000010226,60,1
17810,2013,03000010226,61,1
17810,2014,03000010226,63,1
17962,2012,03000010380,63,1
17962,2013,03000010380,64,1
17962,2014,03000010380,65,1
18044,2012,03000010121,61,1
18044,2013,03000010121,62,1
18044,2014,03000010121,63,1
18129,2012,,61,0
18129,2013,,62,0
18129,2014,,63,0
18134,2012,03000010362,64,1
18134,2013,03000010362,65,1
18165,2012,03000010175,64,1
18165,2013,03000010175,65,1
18165,2014,03000010175,67,1
18204,2012,03000010625,60,0
18204,2013,03000010625,61,0
18204,2014,03000010625,62,0
18204,2015,03000010625,63,0
18235,2012,03000010183,60,1
18235,2013,03000010857,61,1
18235,2014,03000010857,62,1
