"","person_id","year","perf_a","perf_b","performance","perf_c","performance_c","status","avg_absences","absence","id_s_fr","age","female","department"
"1",2,2013,-0.291035185,-0.113625935,1,-0.19329938,1,"Inactive",8.6515121,1,NA,49,1,1
"2",2,2014,NA,NA,1,NA,NA,"Inactive",8.8641529,1,NA,50,1,1
"3",2,2015,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",2,2016,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",2,2017,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",30,2013,-0.153956815,NA,1,-0.15395682,1,"",8.6630487,1,NA,NA,NA,NA
"7",30,2014,NA,NA,1,NA,NA,"",8.2090626,1,NA,NA,NA,NA
"8",30,2015,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",30,2016,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",30,2017,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",416,2013,-0.039959093,0.206050389,1,0.006362673,1,"Active",8.3577957,1,3000010136,74,1,1
"12",416,2014,-1.680653244,NA,1,-1.8250755,1,"",8.2573175,1,3000010136,75,1,1
"13",416,2015,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",416,2016,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",416,2017,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",1938,2013,NA,-0.462589244,1,-0.28645438,1,NA,NA,NA,NA,NA,NA,NA
"17",1938,2014,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",1938,2015,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",1938,2016,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",1938,2017,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",1966,2013,NA,NA,1,NA,NA,"Active",8.7642727,1,3000010352,53,0,1
"22",1966,2014,0.590373444,NA,1,0.20185511,1,"Active",8.0864277,1,3000010352,54,0,1
"23",1966,2015,0.103809645,NA,1,0.37302366,1,"Active",1.6014555,1,3000010352,55,0,1
"24",1966,2016,0.012158288,NA,1,0.9612388,1,"Active",0.30874324,1,NA,NA,NA,NA
"25",1966,2017,NA,NA,1,0.21887453,1,NA,NA,NA,NA,NA,NA,NA
"26",2712,2013,-0.526919808,-1.37530739,1,-1.0029418,1,NA,NA,NA,NA,NA,NA,NA
