person_id,year,perf_a,perf_b
2,2013,-0.291035185,-0.113625935
2,2014,,
2,2015,,
2,2016,,
2,2017,,
30,2013,-0.153956815,
30,2014,,
30,2015,,
30,2016,,
30,2017,,
416,2013,-0.039959093,0.206050389
416,2014,-1.680653244,
416,2015,,
416,2016,,
416,2017,,
1938,2013,,-0.462589244
1938,2014,,
1938,2015,,
1938,2016,,
1938,2017,,
1966,2013,,
1966,2014,0.590373444,
1966,2015,0.103809645,
1966,2016,0.012158288,
1966,2017,,
2712,2013,-0.526919808,-1.37530739
2712,2014,,
2712,2015,,
2712,2016,,
2712,2017,,
2951,2013,0.163663886,
2951,2014,,
2951,2015,,
2951,2016,,
2951,2017,,
3834,2013,-0.555429332,
3834,2014,-0.1012015,
3834,2015,-0.02885066,
3834,2016,,
3834,2017,,
4257,2013,0.832153036,
4257,2014,,
4257,2015,,
4257,2016,,
4257,2017,,
4352,2013,,
4352,2014,,
4352,2015,,
4352,2016,,
4352,2017,,
4500,2013,0.055985886,
4500,2014,,
4500,2015,,
4500,2016,,
4500,2017,,
4546,2013,,-0.416371072
4546,2014,,
4546,2015,,
4546,2016,,
4546,2017,,
4768,2013,0.664059208,2.632903515
4768,2014,,
4768,2015,,
4768,2016,,
4768,2017,,
5216,2013,-1.617859501,
5216,2014,-1.573682823,
5216,2015,,
5216,2016,,
5216,2017,,
5895,2013,-0.646465375,
5895,2014,1.549947962,
5895,2015,1.78421684,
5895,2016,0.927191852,
5895,2017,0.879279898,
6107,2013,0.37105637,
6107,2014,,
6107,2015,,
6107,2016,,
6107,2017,,
6395,2013,-0.656551161,
6395,2014,-0.203401771,0.320537433
6395,2015,,
6395,2016,,
6395,2017,,
6405,2013,0.126882414,
6405,2014,,
6405,2015,,
6405,2016,,
6405,2017,,
6886,2013,-1.425958489,1.058154292
6886,2014,,
6886,2015,,
6886,2016,,
6886,2017,,
7262,2013,2.14151785,
7262,2014,,
7262,2015,,
7262,2016,,
7262,2017,,
7653,2013,0.019229515,-0.331640682
7653,2014,0.042146871,
7653,2015,-0.438865809,
7653,2016,,
7653,2017,,
7715,2013,-1.894131662,
7715,2014,-1.183681395,
7715,2015,,
7715,2016,,
7715,2017,,
7912,2013,-0.199976468,
7912,2014,,
7912,2015,1.829171173,
7912,2016,,
7912,2017,,
8096,2013,0.779197914,
8096,2014,,
8096,2015,,
8096,2016,,
8096,2017,,
8262,2013,1.480698379,-0.093503173
8262,2014,1.767792882,0.08856325
8262,2015,1.240207605,
8262,2016,0.789880001,
8262,2017,,
8321,2013,,-0.547428704
8321,2014,0.015768979,
8321,2015,,
8321,2016,,
8321,2017,,
8426,2013,0.365103929,0.282845555
8426,2014,0.033902403,
8426,2015,,
8426,2016,,
8426,2017,,
8495,2013,1.337275991,
8495,2014,,
8495,2015,,
8495,2016,,
8495,2017,,
8665,2013,,
8665,2014,,
8665,2015,-3.091426189,
8665,2016,0.67028357,-0.628411126
8665,2017,,
8768,2013,-0.464058669,
8768,2014,0.187696685,
8768,2015,,
8768,2016,,
8768,2017,,
8774,2013,-0.057175027,
8774,2014,0.157456026,
8774,2015,-0.840088429,
8774,2016,-0.473055194,
8774,2017,,
8817,2013,,
8817,2014,-1.251577389,
8817,2015,-1.051944222,
8817,2016,-1.758694858,
8817,2017,-1.199343758,
9648,2013,0.692949218,
9648,2014,0.009855137,
9648,2015,,
9648,2016,,
9648,2017,,
9679,2013,,
9679,2014,1.676477841,
9679,2015,,
9679,2016,,
9679,2017,,
10483,2013,-0.325078111,
10483,2014,-0.483052022,
10483,2015,,
10483,2016,,
10483,2017,,
10587,2013,0.702753209,0.849597575
10587,2014,,
10587,2015,,
10587,2016,,
10587,2017,,
10647,2013,-0.317729976,
10647,2014,0.486215099,
10647,2015,0.35692077,
10647,2016,,
10647,2017,,
10662,2013,0.53290013,-0.30309518
10662,2014,0.619047287,
10662,2015,0.900471057,0.11458147
10662,2016,1.506896451,
10662,2017,,
11132,2013,-0.542512076,
11132,2014,,
11132,2015,,
11132,2016,,
11132,2017,,
11466,2013,0.594019641,
11466,2014,,
11466,2015,,
11466,2016,,
11466,2017,,
11747,2013,0.198525512,-0.26314967
11747,2014,,
11747,2015,,
11747,2016,,
11747,2017,,
11776,2013,0.585993454,0.228339174
11776,2014,0.429438093,
11776,2015,,
11776,2016,,
11776,2017,,
12333,2013,-1.084336166,
12333,2014,-1.912153461,0.893023233
12333,2015,-0.905444486,0.339948449
12333,2016,0.20623016,-0.56346166
12333,2017,,
12516,2013,-0.437821166,
12516,2014,-0.289276087,
12516,2015,0.082252887,
12516,2016,,
12516,2017,,
12805,2013,-0.03992827,
12805,2014,2.537541184,
12805,2015,1.459247988,
12805,2016,1.224744549,
12805,2017,,
13186,2013,-0.899070275,-1.6946895
13186,2014,-0.337186473,
13186,2015,-0.213975381,
13186,2016,-0.582573665,
13186,2017,,
13417,2013,-0.03858246,
13417,2014,-0.767622545,
13417,2015,-0.153062121,
13417,2016,,
13417,2017,,
13494,2013,0.058467976,
