person_id,year,perf_c
18946,2013,-4.5605664
47288,2013,-4.5464163
120700,2014,-4.2189074
63124,2017,-4.1845107
128302,2017,-3.9997737
42206,2017,-3.9474547
64730,2016,-3.8188252
116407,2015,-3.8077664
83868,2014,-3.7842422
59511,2016,-3.7791054
56882,2017,-3.730536
122704,2015,-3.7086875
116874,2015,-3.6354008
19163,2013,-3.6138179
69084,2016,-3.6056302
25272,2013,-3.5392666
21621,2014,-3.4775372
61151,2014,-3.4692726
125534,2015,-3.4178634
86211,2013,-3.3624008
35470,2013,-3.3013253
119732,2013,-3.2861562
127645,2016,-3.2196591
30945,2013,-3.1919396
21639,2013,-3.182833
61151,2016,-3.1590748
115462,2013,-3.1519845
18165,2014,-3.1205719
72730,2015,-3.0973635
120009,2016,-3.0832756
63364,2015,-3.0750954
62194,2013,-3.0710599
98441,2015,-3.0628309
56810,2015,-3.0350304
72604,2013,-3.0212641
68822,2015,-2.9932077
34988,2014,-2.9848082
62270,2016,-2.9779251
62322,2014,-2.9674337
125939,2016,-2.9546108
101242,2013,-2.9456251
83868,2017,-2.9405112
61092,2015,-2.9341209
14273,2014,-2.9268248
39648,2016,-2.9220147
93612,2015,-2.8832657
45438,2013,-2.8806489
69305,2016,-2.8800724
32487,2014,-2.8765843
113783,2014,-2.8615117
58017,2013,-2.8556621
66268,2014,-2.839853
71468,2017,-2.8189759
65051,2013,-2.8089166
115936,2013,-2.7986414
127592,2017,-2.7962427
64833,2013,-2.7899525
106031,2014,-2.7762079
57813,2014,-2.7742796
34835,2014,-2.7678733
100354,2017,-2.7639456
107311,2017,-2.752713
56914,2014,-2.7513101
128941,2013,-2.7366927
115188,2015,-2.7359464
44784,2013,-2.7305942
68415,2017,-2.7229645
29322,2016,-2.7085171
41825,2015,-2.706641
48317,2013,-2.703011
50900,2014,-2.6845057
56189,2014,-2.684329
117870,2013,-2.6764379
109553,2016,-2.6660626
125809,2015,-2.6589451
108868,2014,-2.6544495
125579,2016,-2.6523614
56189,2013,-2.6465786
36430,2013,-2.6286635
78914,2013,-2.6188555
52846,2014,-2.6180811
84981,2017,-2.6174967
128525,2016,-2.6132929
62972,2016,-2.5967953
46798,2013,-2.5898435
119714,2015,-2.5786505
65930,2014,-2.5783918
63360,2014,-2.5715806
59725,2015,-2.5696924
78087,2017,-2.5690877
51983,2014,-2.5669456
122131,2014,-2.5520926
40320,2013,-2.54726
65930,2013,-2.54726
70638,2013,-2.5424476
113573,2013,-2.5392573
55511,2013,-2.5388615
46615,2015,-2.5385268
56333,2017,-2.5368538
48497,2016,-2.536747
41656,2015,-2.5212662
64433,2016,-2.5151887
46249,2013,-2.5113933
48168,2015,-2.5006819
66268,2013,-2.4934878
126121,2015,-2.4925559
130258,2013,-2.4868646
78332,2016,-2.4867744
128294,2017,-2.4789097
119714,2014,-2.4773085
39047,2014,-2.4752476
84336,2016,-2.474998
64937,2014,-2.4724731
46798,2014,-2.470649
43959,2017,-2.4676642
103422,2014,-2.4631464
101752,2013,-2.4622571
73277,2017,-2.459311
112023,2014,-2.4571033
54093,2017,-2.4566524
102656,2016,-2.4534533
116523,2013,-2.4528787
122286,2015,-2.4522989
31544,2013,-2.450918
97960,2013,-2.4460728
106853,2017,-2.445812
72413,2015,-2.44169
61151,2015,-2.4341867
66733,2017,-2.4314227
113783,2013,-2.4298122
43450,2016,-2.4270787
111308,2013,-2.4257071
85139,2017,-2.4156146
128470,2017,-2.4138308
117748,2017,-2.4095402
127860,2013,-2.406904
101859,2014,-2.3946743
98955,2017,-2.3932984
123245,2017,-2.387965
58209,2017,-2.386101
130266,2015,-2.3846707
51094,2013,-2.3810546
43735,2016,-2.3770871
109056,2017,-2.3722117
62322,2016,-2.3671615
52061,2015,-2.3618996
27895,2015,-2.3593776
126098,2016,-2.3554595
128685,2015,-2.3529966
120999,2014,-2.3510256
65512,2016,-2.3504174
31493,2015,-2.3503039
61385,2015,-2.345098
60388,2014,-2.3449929
64730,2014,-2.3395054
