"","person_id","year.x","perf_a.x","perf_b.x","perf_c.x","status.x","avg_absences.x","id_s_fr.x","age.x","female.x","year.y","perf_a.y","perf_b.y","perf_c.y","status.y","avg_absences.y","id_s_fr.y","age.y","female.y","year.x.x","perf_a.x.x","perf_b.x.x","perf_c.x.x","status.x.x","avg_absences.x.x","id_s_fr.x.x","age.x.x","female.x.x","year.y.y","perf_a.y.y","perf_b.y.y","perf_c.y.y","status.y.y","avg_absences.y.y","id_s_fr.y.y","age.y.y","female.y.y","year.x.x.x","perf_a.x.x.x","perf_b.x.x.x","perf_c.x.x.x","status.x.x.x","avg_absences.x.x.x","id_s_fr.x.x.x","age.x.x.x","female.x.x.x","year.y.y.y","perf_a.y.y.y","perf_b.y.y.y","perf_c.y.y.y","status.y.y.y","avg_absences.y.y.y","id_s_fr.y.y.y","age.y.y.y","female.y.y.y","year","perf_a","perf_b","perf_c","status","avg_absences","id_s_fr","age","female"
"1",2,2012,NA,NA,NA,"Active",7.9492259,3000010175,48,1,2013,-0.291035185,-0.113625935,-0.19329938,"Inactive",8.6515121,NA,49,1,2014,NA,NA,NA,"Inactive",8.8641529,NA,50,1,2015,NA,NA,NA,NA,NA,NA,NA,NA,2016,NA,NA,NA,NA,NA,NA,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",30,2012,NA,NA,NA,"",8.0552979,NA,NA,NA,2013,-0.153956815,NA,-0.15395682,"",8.6630487,NA,NA,NA,2014,NA,NA,NA,"",8.2090626,NA,NA,NA,2015,NA,NA,NA,NA,NA,NA,NA,NA,2016,NA,NA,NA,NA,NA,NA,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",416,2012,NA,NA,NA,"Active",8.6517639,3000010136,73,1,2013,-0.039959093,0.206050389,0.006362673,"Active",8.3577957,3000010136,74,1,2014,-1.680653244,NA,-1.8250755,"",8.2573175,3000010136,75,1,2015,NA,NA,NA,NA,NA,NA,NA,NA,2016,NA,NA,NA,NA,NA,NA,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",1938,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,NA,-0.462589244,-0.28645438,NA,NA,NA,NA,NA,2014,NA,NA,NA,NA,NA,NA,NA,NA,2015,NA,NA,NA,NA,NA,NA,NA,NA,2016,NA,NA,NA,NA,NA,NA,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,9999,NA,NA,NA,"",NA,NA,NA,NA
"5",1966,2012,NA,NA,NA,"Active",7.9587131,3000010352,52,0,2013,NA,NA,NA,"Active",8.7642727,3000010352,53,0,2014,0.590373444,NA,0.20185511,"Active",8.0864277,3000010352,54,0,2015,0.103809645,NA,0.37302366,"Active",1.6014555,3000010352,55,0,2016,0.012158288,NA,0.9612388,"Active",0.30874324,NA,NA,NA,2017,NA,NA,0.21887453,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",2712,2012,NA,NA,NA,"Active",8.5536661,3000010160,69,1,2013,-0.526919808,-1.37530739,-1.0029418,NA,NA,NA,NA,NA,2014,NA,NA,NA,NA,NA,NA,NA,NA,2015,NA,NA,NA,NA,NA,NA,NA,NA,2016,NA,NA,NA,NA,NA,NA,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",2951,2012,NA,NA,NA,"Active",8.4073553,3000010291,68,0,2013,0.163663886,NA,0.16366388,"Active",8.788084,3000010291,69,0,2014,NA,NA,NA,"",8.2315111,3000010291,70,0,2015,NA,NA,NA,NA,NA,NA,NA,NA,2016,NA,NA,NA,NA,NA,NA,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",3834,2012,NA,NA,NA,"Active",7.9263949,3000010352,47,0,2013,-0.555429332,NA,-0.55542934,"Active",8.4835396,3000010352,48,0,2014,-0.1012015,NA,0.22923191,"Active",8.0817823,3000010352,49,0,2015,-0.02885066,NA,-0.48402774,NA,NA,NA,NA,NA,2016,NA,NA,NA,"Active",0.1254915,NA,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",4257,2012,NA,NA,NA,"Active",8.4915047,3000010282,69,1,2013,0.832153036,NA,0.83215302,"",8.7205553,3000010282,70,1,2014,NA,NA,NA,"",8.3382215,3000010282,71,1,2015,NA,NA,NA,NA,NA,NA,NA,NA,2016,NA,NA,NA,NA,NA,NA,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",4352,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,NA,NA,0.21169575,NA,NA,NA,NA,NA,2014,NA,NA,NA,NA,NA,NA,NA,NA,2015,NA,NA,NA,NA,NA,NA,NA,NA,2016,NA,NA,NA,NA,NA,NA,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",4500,2012,NA,NA,NA,"Active",8.1183062,3000010110,65,1,2013,0.055985886,NA,0.055985887,"",8.1870518,3000010110,67,1,2014,NA,NA,NA,"",8.7429695,3000010110,67,1,2015,NA,NA,NA,NA,NA,NA,NA,NA,2016,NA,NA,NA,NA,NA,NA,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",4546,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,NA,-0.416371072,-0.41637111,NA,NA,NA,NA,NA,2014,NA,NA,NA,NA,NA,NA,NA,NA,2015,NA,NA,NA,NA,NA,NA,NA,NA,2016,NA,NA,NA,NA,NA,NA,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",4768,2012,NA,NA,NA,"Active",8.6141863,3000010110,66,0,2013,0.664059208,2.632903515,1.7649471,"",8.5008726,3000010110,67,0,2014,NA,NA,NA,"",8.608264,3000010110,68,0,2015,NA,NA,NA,NA,NA,NA,NA,NA,2016,NA,NA,NA,NA,NA,NA,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",5216,2012,NA,NA,NA,"Active",8.8094482,3000010362,72,0,2013,-1.617859501,NA,-1.6178595,"Active",8.7073402,3000010362,73,0,2014,-1.573682823,NA,-0.90415645,"",8.1397219,3000010362,74,0,2015,NA,NA,NA,NA,NA,NA,NA,NA,2016,NA,NA,NA,NA,NA,NA,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",5895,2012,NA,NA,NA,"Active",8.0286169,3000010130,66,1,2013,-0.646465375,NA,-0.5484283,"Active",8.6669159,3000010130,67,1,2014,1.549947962,NA,0.93621004,"Active",8.0419922,3000010130,68,1,2015,1.78421684,NA,1.7842169,"Active",1.161661,3000010130,69,1,2016,0.927191852,NA,0.91329467,"Active",0.93922812,NA,NA,NA,2017,0.879279898,NA,0.87927991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",6107,2012,NA,NA,NA,"Active",7.9907427,3000010167,66,1,2013,0.37105637,NA,0.37105638,"",8.2349596,3000010167,67,1,2014,NA,NA,NA,"",8.0992451,3000010167,68,1,2015,NA,NA,NA,NA,NA,NA,NA,NA,2016,NA,NA,NA,NA,NA,NA,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",6395,2012,NA,NA,NA,"Active",8.2921219,3000010289,65,1,2013,-0.656551161,NA,-0.65655112,"Active",8.8234577,3000010289,66,1,2014,-0.203401771,0.320537433,-0.069085442,NA,NA,NA,NA,NA,2015,NA,NA,NA,NA,NA,NA,NA,NA,2016,NA,NA,NA,NA,NA,NA,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",6405,2012,NA,NA,NA,"Active",8.3625689,3000010226,65,1,2013,0.126882414,NA,0.12688242,NA,NA,NA,NA,NA,2014,NA,NA,NA,NA,NA,NA,NA,NA,2015,NA,NA,NA,NA,NA,NA,NA,NA,2016,NA,NA,NA,NA,NA,NA,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
